a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,,,,,,,,,,,,,
maxnum_gametype,3,,,,,,,,,,,,,,,,,,,,,
total_filesharegametype,4,,,,,,,,,,,,,,,,,,,,,
0,zclassic,ZMUI_CLASSIC_CAPS,ZMUI_CLASSIC_DESC,playlist_tdm,0,YES,ZMUI_CLASSIC,YES,zclassic,,,,,,,,,,,,,
0,zstandard,ZMUI_STANDARD_CAPS,ZMUI_STANDARD_DESC,playlist_tdm,1,YES,ZMUI_STANDARD,YES,zsurvival,,,,,,,,,,,,,
0,zgrief,ZMUI_GRIEF_CAPS,ZMUI_GRIEF_DESC,playlist_tdm,2,YES,ZMUI_GRIEF,YES,zencounter,,,,,,,,,,,,,
0,zcleansed,ZMUI_CLEANSED_CAPS,ZMUI_CLEANSED_DESC,playlist_tdm,3,YES,ZMUI_CLEANSED,YES,zencounter,,,,,,,,,,,,,
maxnum_basictraining_gametype,0,,,,,,,,,,,,,,,,,,,,,
maxnum_lbtype,0,,,,,,,,,,,,,,,,,,,,,
3,all_time,MPUI_LB_ALL_TIME_CAPS,0,,,,,,,,,,,,,,,,,,,
3,monthly,MPUI_LB_MONTHLY_CAPS,1,,,,,,,,,,,,,,,,,,,
3,weekly,MPUI_LB_WEEKLY_CAPS,2,,,,,,,,,,,,,,,,,,,
4,none,MPUI_LB_EVERYONE_CAPS,0,,,,,,,,,,,,,,,,,,,
4,friends,MPUI_LB_FRIENDS_ONLY_CAPS,1,,,,,,,,,,,,,,,,,,,
4,lobbymembers,MPUI_LB_PLAYERS_IN_LOBBY_CAPS,2,,,,,,,,,,,,,,,,,,,
maxnum_startloc,47,,,,,,,,,,,,,,,,,,,,,
5,0,zm_bus_test,default,ZMUI_DEFAULT_CAPS,ZMUI_DEFAULT_DESC,playlist_ffa,1,-320,-240,-200,-300,,,,,,-320,-240,,,,
5,1,zm_meat,default,ZMUI_TEST_CAPS,ZMUI_TEST_DESC,playlist_ffa,1,-320,-240,-200,-300,,,,,,-320,-240,,,,
